TypeData.CompTypeID,TypeData.GenCompType,long_description,failure_locations
BATT_NICAD_1,Battery - NICAD,"The equipment Battery - NICAD, is categorized as Electrical Asset and has the following boundary: The boundary of NICAD battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-cell and inter-tier connectors ,Battery rack","The failure locations for Battery - NICAD are: {'Vent or Flame Arrestor', 'Plates', 'Posts', 'Electrolyte', 'Inter Cell and Inter Tier Connectors and Hardware and Battery Cable Connectors', 'Jar & Lid', 'Rack'}"
BATT_Plante,Battery - Flooded Lead Acid - Plante,"The equipment Battery - Flooded Lead Acid - Plante, is categorized as Electrical Asset and has the following boundary: The boundary of a typical flooded lead-acid battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and Inter-cell connectors ,Battery Rack","The failure locations for Battery - Flooded Lead Acid - Plante are: {'Vent or Flame Arrestor', 'InterCell and InterTier Connectors and Hardware and Battery Cable Connectors', 'Jar', 'Plates', 'Separators & Retainers', 'Posts and Straps', 'Jar and Lid', 'Electrolyte', 'Posts', 'Rack', 'Lid'}"
BATT_VRLA,Battery - Valve Regulated Lead Acid,"The equipment Battery - Valve Regulated Lead Acid, is categorized as Electrical Asset and has the following boundary: This is the flooded type of VRLA battery.  The boundary of valve-regulated battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and inter-cell connectors ,Battery rack","The failure locations for Battery - Valve Regulated Lead Acid are: {'Cabinet or Rack', 'Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Plates', 'Pressure Relief Valve', 'Posts and Straps', 'Electrolyte', 'Jar & Lid', 'Posts'}"
BATT_VRLA_NonGel_V0,Battery - VRLA - Non-Gel Type,"The equipment Battery - VRLA - Non-Gel Type, is categorized as Electrical Asset and has the following boundary: The Non-Gel Type VRLA Battery is commonly used for distributed standby power systems in, for example, telecommunications applications.  For this application they are designed for floating the majority of the time, with occasional rapid discharges and immediate recharging.  The boundary of a VRLA (Non Gel Type) Battery for the purpose of this database is defined to include the following:  ,Battery cells ,Inter-tier and inter-cell connectors ,Battery rack  Excluded are: . Upstream and downstream distribution cables","The failure locations for Battery - VRLA - Non-Gel Type are: {'Battery - Inter Cell and Inter Tier Connectors & Hardware & Battery Cable Connectors', 'Battery - Posts', 'Battery - Cabinet or Rack', 'Battery - Case', 'Battery - Plates', 'Battery - Group Bar (Collector)', 'Connections to Battery Charger and Primary Distribution', 'Battery - Pressure Relief Valve'}"
BCS_Letter_1,Bar Code Delivery Sorter,"The equipment Bar Code Delivery Sorter, is categorized as Material Handling Asset and has the following boundary: The boundary of the Bar Code Delivery Sorter System, for the purpose of this database, is defined to include the following:  - Jogger table - Feeder - Transportation Module - Reader Elevator Transition Module (RET) - WFOV and ICS Readers - Computer system with report and label printers - Power supplies and distribution - Stacker modules","The failure locations for Bar Code Delivery Sorter are: {'E-Stops', 'Feeder Power Supplies, 5V and 24V', 'Stacker Module Transport and Drive Belts', 'Feeder Air Handler Assembly (including motor, pump, filter and regulator)', 'Wide Field of View Assembly - Computer', 'Power Supplies, 24 and 42 VDC', 'Feeder Pressure Sensing Lever Assembly', 'Pressure Sensing Assembly Prox Switches', 'Mode Indicators', 'Start Up Warning Lamps', 'Pulleys - Driven', 'Stacker Warning Lamps', 'Fuses (Reader and Stacker Modules)', 'Jogger Vibration Control Assembly', 'Jogger Motor', 'Feeder Staging Belt Drive Servo Motor Sprocket', 'Feeder Control Board SE-04', 'Circuit Card Assemblies (P-MCU xx, P-DRM 11, P-DRM 20, P-PDI 02, P-BAB 1, P-MIO96, P-TIF03, P-IJP-02)', 'Feeder Tach', 'Stacker Manual Motor Starter (Thermal Breaker)', 'LI1 Photocell (Jam Detection)', 'RET Module Transport and Drive Belts', 'Feeder Paddle Stop Proximity Switch', 'Drive Motor AC (Transport, Stacker & Elevator Module)', 'Card Cage Fan\n\n(Transport and Reader Module)', 'Jogger Ground Straps', 'Jogger Pillow Block Bearings and Shaft', 'Feeder Staging Belt Drive Servo Motor', 'Maintenance Key Switch', 'Pressure Sensing Assembly Prox Switches Lever', 'Feeder Paddle Wear Plate', 'Auger Assembly (Stacker)', 'Stacker Drive Shaft Assembly', 'Auger Belts O-Ring (Stacker)', 'PIE Boards (Transport, Elevator, Reader and Transition)', 'Wide Field of View Assembly - Read Head', 'Feeder Stripper Assembly', 'Stacker Diverter Plate Cover Assembly (Wimpy Panel and Interlocks)', 'Wiring and Cables (Power and Signals Communications)', 'Feeder Slide Switch', 'E-Stops and Interlocks', 'Feeder (Paddle) Guide Sleeve Assembly', 'Jogger Drive Link', 'Terminal Strips', 'Jogger Power Cable and Connector', 'Feeder Pick Off Belt Servo Motor Cables and Connectors', 'Feeder Staging Belt Drive Gear Chain', 'Feeder Wear Compensation Arm Assembly', 'Power Factor Correction Capacitor Bank', 'Feeder Paddle Pressure Sensor (Fiberoptic)', 'Feeder (Paddle) Guide Sleeve Assembly Index Bearing', 'Wide Field of View Assembly - Transformer', 'P-PMB32 Solenoid Driver Back Plane', 'Jogger Paddle Assembly', 'Pulleys - Idler', 'Feeder A-18 Connector Board', 'Feeder Staging Belt Tension Sprocket', 'Operator Panel Assembly Switches (Pwr On/Off)', 'Reader Foam Roller', 'ICS Reader (Read Head and Electronics Enclosure)', 'P-RBK 11 Back Plane Assembly (Reader Module)', 'Feeder Paddle Pawl Assembly', 'Finger Guard Assembly (Stacker)', 'Operator Panel Assembly (OPA) Indicators', 'Gate Driver Boards', 'Reader Control Relays', 'Start Warning Horns', 'Jogger Motor Pulley', 'Jogger Drive Belt', 'Feeder Letter Present Photo Sensor', 'Door Panel Assembly', 'Stacker Fence Support Assembly including Bumper Support Assembly with Low Friction Tape', 'Feeder Staging Belt Servo Motor Cables and Connectors', 'Label Printers (Stacker Modules)', 'Feeder Pick Off Belts', 'Stacker Back Plane Chassis Assembly P-SBK 11 with PCB (P-STK-11/P-STK-03)', 'Pulleys - Flanged (Timing)', 'Feeder Pressure Lever Assemblies', 'Feeder Paddle Drive Gear Motor', 'Air/Vacuum Tubing', 'Universal Light Barrier (ULB)', 'Label Printers (Stacker Module)', 'Feeder Jam Release Slide Assembly', 'System Host Computer', 'Feeder Pick Off Belt Servo Motor', 'P-LED10 Circuit Card (Photocell Emitter)', 'Descriptor Bus Terminator (Reader and End Stacker Module)', 'Stacker Volume Switches', 'Circuit Breaker Panel Assembly (Transport & Reader Module)', 'Feeder Paddle Pressure Sensor Controller (Fiberoptic)', 'Tach Transducers (Reader & Transition Module)', 'Stacker Arm Spring Assembly', 'Receptacle Box (Transport Module)', 'Gate Stop Assembly (Reader and Stacker)', 'Reader & Stacker Diverter Gate Assembly', 'Pulleys - Drive', 'Motor Controller (Allen Bradley)', 'Stacker Switch Mount Molded', 'Jogger Vibration Control Cable Assembly', 'P-DZ90 Circuit Card (Photocell)', 'Reader Diverter Back Plane Driver Assembly (P-P-WMMB-3), shown in elevator module', 'Feeder Paddle Drive Gear Chain', 'Main Power Distribution Unit', 'Mechanical Roller & Bearing Assemblies', 'Feeder Take-Away Pressure Roller Assemblies', 'Stacker Lower Front Panel Assembly', 'Feeder Paddle Drive Gear Motor Sprocket', 'Circuit Breaker Panel Assembly (Feeder Module)', 'Pusher Assembly (Stacker)', 'Feeder Staging Belt', 'Stacker LCD Display Panel', 'Feeder Phenolic Chain Guide', 'USB to Serial Converter (Edgeport) Connector (Reader Module)', 'Edging Roller Sensor', 'Feeder Belt Pulleys', 'Stacker Four-Pocket, Pocket Assembly with Teflon Guide Strips', 'Feeder Module Transport and Drive Belts', 'Filter\n\n(Transport and Reader Module)', 'Feeder Paddle Tension Chain Sprocket', 'Stacker Circuit Card Assemblies (P-PMB 32)'}"
Bearing_Rolling_Grease_V0,Bearing - Rolling Element - Grease,"The equipment Bearing - Rolling Element - Grease, is categorized as Rotating Asset and has the following boundary: The boundary of a Bearing - Rolling Element - Grease comprises:  - Bearing - Bearing seals - Bearing housing - Grease - Grease fitting  Excluded are: - RTD's, if present - Vibration probes, if present","The failure locations for Bearing - Rolling Element - Grease are: {'Bearing housings', 'Grease', 'Bearing Seals', 'Grease Fittings (e.g. Zirc type)', 'Bearings - Rolling Element'}"
Bearing_Rolling_Oil_V0,Bearing - Rolling Element - Oil,"The equipment Bearing - Rolling Element - Oil, is categorized as Rotating Asset and has the following boundary: The boundary of a Bearing - Rolling Element - Grease comprises:  - Bearing - Bearing seals - Bearing housing - Oil   Excluded are: - RTD's, if present - Vibration probes, if present - Oil supply system","The failure locations for Bearing - Rolling Element - Oil are: {'Bearing Seals (contact type)', 'Bearing housings', 'Bearing Seals (all types)', 'Bearing Seals (non-contact type)', 'Lubrication - Oil', 'Bearings - Rolling Element'}"
Blower_PD_Roots_V0,Blower_Positive Displacement_Roots Type,"The equipment Blower_Positive Displacement_Roots Type, is categorized as Rotating Asset and has the following boundary: The boundary of a Roots Type Positive Displacement Blower, for the purpose of this database, is defined to include:  . Intake Filter . Blower Outlet Flange . Base . Blower itself  Excluded are:  . Motor Driver . Coupling","The failure locations for Blower_Positive Displacement_Roots Type are: {'Gears', 'Base Plate', 'Gear Case', 'Grease', 'Bearings - Roller', 'Grease release vents', 'Cylinder', 'Impeller Rotors', 'Driving Shaft Bearing Cover', 'Oil or Grease Seals', 'Impeller Shafts', 'Feet and Lifting Lugs', 'Fibre Washers', 'Air Intake Housing', 'Disc Springs', 'Bearings - Thrust', 'Oil Thrower', 'Gaskets', 'Gear Trough (i.e. splash cover)', 'Fasteners', 'Headplates', 'Air Filter - Cartridge type', 'O-Rings', 'Oil'}"
Boiler_AirPreHeater_Vert_V0,Air Pre-Heater - Vertical Type,"The equipment Air Pre-Heater - Vertical Type, is categorized as Fixed Asset and has the following boundary: An Air Pre-Heater vertical design is primarily for newer (>1970) coal fired plants and should also be useful for other fossil fuel plants.  The major elements of this device consists of the following: - Guide Bearing (Rolling Element) - Guide Bearing Housing - Guide Bearing Air Seal Cover - Rotor Assembly (Diaphragm, Stay Plates, Shell, Post, Trunnions) - Heating Elements (Baskets) - Hot, Cold, Intermediate - Drive Motor - Electric (Main or Auxiliary) - Auxiliary Drive Air Motor (The auxiliary drive will either be predominately an air motor or in some cases an electric motor, but not both.) - Drive Gearbox - Drive Pin Rack - Drive Pinion Gear - Seals (Axial, Radial, Bypass/Circumferential, Post) - Seal Plates (Hot Radial, Cold Radial, Axial, Sector, and Adjusters) - T-Bars - Support Bearing (Runner type with Pads) - Support Bearing (Radial - Rolling Element) - Support Bearing Housing - Radial Stub Shaft - Air Heater Housing - Lube Oil Systems (Guide, Support Bearing Rotor Drive with Cooler, Motor, Pump, Filters, Valves, Piping, Nozzles, Oil) - Air Heater Cleaner Soot Blower - Instrumentation - Pressure and Temperature (Local, DCS, Control Room)  The following components are excluded: - Power feed, controls, and switchgear","The failure locations for Air Pre-Heater - Vertical Type are: {'Auxiliary Drive Air Compressor, Tank, Filter, Oiler, and Solenoid Valve', 'Drive Motor and Gearbox Couplings', 'Heating Elements (Baskets) - Hot', 'Drive Motor - Electric (Main or Auxiliary)', 'Seal Plates (Hot Radial, Cold Radial, Axial, Sector)', 'Drive Gearbox Frame', 'Lube Oil Metering Orifice, if present', 'Heating Elements (Baskets) - Cold', 'Drive Gearbox', 'Seals (Axial, Radial, Bypass/Circumferential, Post)', 'Soot Blower', 'Support Bearing Air Seal Cover', 'Support Radial Bearing Stub Shaft', 'Guide Bearing Air Seal Cover', 'Drive Gearbox oil cooler, if present', 'Support Radial Bearing (Rolling Element)', 'Air Pre-Heater Housing', 'Guide Bearing (Rolling Element)', 'Rotor Assembly (Diaphragm, Stay Plates, Shell, Post, Trunnions)', 'Support Bearing (Tilt Pad Type)', 'Pin Rack', 'Heating Elements (Baskets) - Supports', 'Instrumentation - Pressure and Temperature (Local, DCS, Control Room)', 'Heating Elements (Baskets) - Intermediate, if present', 'T-Bars', 'Lube Oil (Guide Bearing, Support Bearing, Rotor Drive)', 'Lube Oil System (Guide Bearing, Support Bearing, Rotor Drive)', 'Auxiliary Drive Air Motor', 'Guide Bearing Housing', 'Auxiliary Drive Air Compressor, Tank, Air Filter, Oiler, and Solenoid Valve', 'Pinion Shaft Seal', 'Lube Oil Cooling Heat Exchanger (Guide Bearing, Support Bearing, Rotor Drive)', 'Support Bearing Cover Shield', 'Drive Pinion Gear', 'Support Bearing Housing'}"
Brake_Disc_Air_Operated_V0,Brake - Disc - Air Operated,"The equipment Brake - Disc - Air Operated, is categorized as Material Handling Asset and has the following boundary: A typical Brake - Air Operated is comprised of the following: Note: This type of break has many uses and may be seen on equipment such as mobile equipment (trucks, earth movers, etc.), and some cranes both mobile and fixed. - Air cylinder - Drum - Brake shoes or pads  Excluded from treatment are the following: - Device upon which the break is mounted - Air Supply - Controls","The failure locations for Brake - Disc - Air Operated are: {'Air Line Connector', 'Air or Pneumatic Cylinder - Support rods and end caps, if present', 'Air or Pneumatic Cylinder, Piston, and Rod', 'Brake Pads, or Shoes', 'Brake Disc', 'Mechanical linkages and brake arms', 'Air or Pneumatic Cylinder, Piston, and Rod - Seals', 'Air or Pneumatic Cylinder - Bearings or Bushings, if present', 'Clevis pins, if present', 'Air or Pneumatic Cylinder - Hose Connection Ports', 'Air or Pneumatic Cylinder, Piston Ring, if present', 'Air or Pneumatic Cylinder', 'Frame', 'Bolting, hardware, and fasteners', 'Torque spring'}"
Brake_ElectroMechanical_V0,Brake - Electro-Mechanical,"The equipment Brake - Electro-Mechanical, is categorized as Miscellaneous Asset and has the following boundary: A typical Brake - Electro-Mechanical is comprised of the following: - Coil (AC/DC) - Drum or disc - Brake shoes or pads - Brake frame and hardware Excluded from treatment are the following: - Device upon which the break is mounted - Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers","The failure locations for Brake - Electro-Mechanical are: {'Holding or Pull-in coil', 'Connector and wiring', 'Magnetic air gap', 'Mechanical linkages and brake arms', 'Clevis pins, if present', 'Frame', 'Brake Drum', 'Bolting, hardware, and fasteners', 'Pivot needle bearings', 'Torque spring', 'Brake Linings, Pads, or Shoes'}"
BULK_BargeUnloader_LadderwFixedCantileverBoom_V0,	Barge Unloader Ladder Type with Fixed Cantilever Boom,"The equipment 	Barge Unloader Ladder Type with Fixed Cantilever Boom, is categorized as Material Handling Asset and has the following boundary: A typical Barge Unloader Ladder Type with Fixed Cantilever Boom is comprised of the following: 1) Barge Haul - Cable - Gearbox and Motor - Drum - Brake - Drum Gear and Pinion - Lube System - Idlers with Bearings - Pulleys and Bearings - Wire Rope (cable) Attachments 2) Breasting System - Hydraulic System - Wire Rope 3) Trolley - Rails - Cable - Cable Attachments - Gearbox and Motor - Couplings - Brakes - Structure - Bumpers - Thrust Rollers - Travel Limits 4) Boom - Buckets with Cutting Lip - Chain (Links, Pins and Bolts) - Rollers - Tail or Lower Sprocket (Shaft, Bearings) - Bucket Return Slides  - Upper Bucket Guide Rail - Discharge Chute and Liners - Bucket Drive System (Chain Sprockets, Drive Shaft, Drive Shat Bearings, OEM Drive Gears and Bearings, Reducer Gearbox and Motor, Coupling, Backstop)  - Lateral Limit Switch (Plunger Type) 5) Cantilever (Fixed Boom) - Frame - Guide Rollers - Rail - Hoist Cables - Hoist Drive (Motor, Gearbox, Brakes, Gears, Drum, Bearings, Couplings) - Operator Cab - Counter weight (Cable, Sheave, Weight, Open Spelter Sockets) 6) Gathering Conveyor - Pulleys - Belt - Idlers and Rollers - Scraper - Take-up System - Gearbox and Motor - Skirts - Structure - Lower Spill Plate 7) Fire Suppression - see exclusions 8) Lubrication - see exclusions  Excluded from treatment are the following: - Operator Cab - Components of the Fire protection or Suppression beyond those components listed in each major Failure Location - Components of the Lubrication System beyond those components listed in each major Failure Location - Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers, HVAC, etc. - Sampling Equipment - Dust Suppression - Dust Collector - Slide gates - Magnetic Separators - Weight Scales - Downstream Conveyors - Grinders or Crushers - Cell (river pilings) - Cameras - Jib Cranes and Hoists - Communication","The failure locations for 	Barge Unloader Ladder Type with Fixed Cantilever Boom are: {'Trolley', 'Gathering Conveyor', 'Fire suppression', 'Boom', 'Cantilever (Fixed Boom)', 'Breasting System', 'Barge Haul System', 'Fire Suppression'}"
BULK_BargeUnloader_LadderwMovableBoom_V0,Barge Unloader Ladder Type with Movable Boom,"The equipment Barge Unloader Ladder Type with Movable Boom, is categorized as Material Handling Asset and has the following boundary: A typical Barge Unloader Ladder Type with Movable Boom is comprised of the following: 1) Barge Haul - Cable - Gearbox and Motor - Drum - Brake - Drum Gear and Pinion - Lube System - Idlers with Bearings - Pulleys and Bearings - Barge Rope (cable) Attachments 2) Breasting System - Hydraulic System - Wire Rope 3) Trolley - Rails - Cable - Cable Attachments - Gearbox and Motor - Couplings - Brakes - Structure - Bumpers - Thrust Rollers - Travel Limits 4) Boom - Buckets with Cutting Lip - Chain (Links, Pins and Bolts) - Rollers - Tail or Lower Sprocket (Shaft, Bearings) - Pivot Arm Sprocket (Arm, Shaft, Bearings, Hydraulic Cylinder or Arm Linkage) - Bucket Return Slides  - Upper Bucket Guide Rail - Discharge Chute and Liners - Bucket Drive System (Chain Sprockets, Drive Shaft, Drive Shat Bearings, OEM Drive Gears and Bearings, Reducer Gearbox and Motor, Coupling, Backstop)  - Lateral Limit Switch (Plunger Type) - Flexible Nose (Springs and Guide Pins, Limit Switch), if present 5) Boom Hoist System - Cables - Sheaves - Drums - Gear Reducer, Shaft and Bearings, Shaft - Motor - Brakes - Drive Base 6) Gathering Conveyor - Pulleys - Belt - Idlers and Rollers - Scraper - Take-up System - Gearbox and Motor - Skirts - Structure - Lower Spill Plate 7) Fire Suppression - see exclusions 8) Lubrication - see exclusions  Excluded from treatment are the following: - Operator Cab - Components of the Fire protection or Suppression beyond those components listed in each major Failure Location - Components of the Lubrication System beyond those components listed in each major Failure Location - Power and Control and all contained equipment, e.g. power supply or feed, switchgear, breakers, HVAC, etc. - Sampling Equipment - Dust Suppression - Dust Collector - Slide gates - Magnetic Separators - Weight Scales - Downstream Conveyors - Grinders or Crushers - Cell (river pilings) - Cameras - Jib Cranes and Hoists - Communication","The failure locations for Barge Unloader Ladder Type with Movable Boom are: {'Boom Hoist', 'Trolley', 'Gathering Conveyor', 'Fire suppression', 'Boom', 'Breasting System', 'Barge Haul System', 'Fire Suppression'}"
