TypeData.CompTypeID,TypeData.GenCompType,failure_locations
BCS_Letter_1,Bar Code Delivery Sorter,"['E-Stops', 'Feeder Power Supplies, 5V and 24V', 'Stacker Module Transport and Drive Belts', 'Feeder Air Handler Assembly (including motor, pump, filter and regulator)', 'Wide Field of View Assembly - Computer', 'Power Supplies, 24 and 42 VDC', 'Feeder Pressure Sensing Lever Assembly', 'Pressure Sensing Assembly Prox Switches', 'Mode Indicators', 'Start Up Warning Lamps', 'Pulleys - Driven', 'Stacker Warning Lamps', 'Fuses (Reader and Stacker Modules)', 'Jogger Vibration Control Assembly', 'Jogger Motor', 'Feeder Staging Belt Drive Servo Motor Sprocket', 'Feeder Control Board SE-04', 'Circuit Card Assemblies (P-MCU xx, P-DRM 11, P-DRM 20, P-PDI 02, P-BAB 1, P-MIO96, P-TIF03, P-IJP-02)', 'Feeder Tach', 'Stacker Manual Motor Starter (Thermal Breaker)', 'LI1 Photocell (Jam Detection)', 'RET Module Transport and Drive Belts', 'Feeder Paddle Stop Proximity Switch', 'Drive Motor AC (Transport, Stacker & Elevator Module)', 'Card Cage Fan\n\n(Transport and Reader Module)', 'Jogger Ground Straps', 'Jogger Pillow Block Bearings and Shaft', 'Feeder Staging Belt Drive Servo Motor', 'Maintenance Key Switch', 'Pressure Sensing Assembly Prox Switches Lever', 'Feeder Paddle Wear Plate', 'Auger Assembly (Stacker)', 'Stacker Drive Shaft Assembly', 'Auger Belts O-Ring (Stacker)', 'PIE Boards (Transport, Elevator, Reader and Transition)', 'Wide Field of View Assembly - Read Head', 'Feeder Stripper Assembly', 'Stacker Diverter Plate Cover Assembly (Wimpy Panel and Interlocks)', 'Wiring and Cables (Power and Signals Communications)', 'Feeder Slide Switch', 'E-Stops and Interlocks', 'Feeder (Paddle) Guide Sleeve Assembly', 'Jogger Drive Link', 'Terminal Strips', 'Jogger Power Cable and Connector', 'Feeder Pick Off Belt Servo Motor Cables and Connectors', 'Feeder Staging Belt Drive Gear Chain', 'Feeder Wear Compensation Arm Assembly', 'Power Factor Correction Capacitor Bank', 'Feeder Paddle Pressure Sensor (Fiberoptic)', 'Feeder (Paddle) Guide Sleeve Assembly Index Bearing', 'Wide Field of View Assembly - Transformer', 'P-PMB32 Solenoid Driver Back Plane', 'Jogger Paddle Assembly', 'Pulleys - Idler', 'Feeder A-18 Connector Board', 'Feeder Staging Belt Tension Sprocket', 'Operator Panel Assembly Switches (Pwr On/Off)', 'Reader Foam Roller', 'ICS Reader (Read Head and Electronics Enclosure)', 'P-RBK 11 Back Plane Assembly (Reader Module)', 'Feeder Paddle Pawl Assembly', 'Finger Guard Assembly (Stacker)', 'Operator Panel Assembly (OPA) Indicators', 'Gate Driver Boards', 'Reader Control Relays', 'Start Warning Horns', 'Jogger Motor Pulley', 'Jogger Drive Belt', 'Feeder Letter Present Photo Sensor', 'Door Panel Assembly', 'Stacker Fence Support Assembly including Bumper Support Assembly with Low Friction Tape', 'Feeder Staging Belt Servo Motor Cables and Connectors', 'Label Printers (Stacker Modules)', 'Feeder Pick Off Belts', 'Stacker Back Plane Chassis Assembly P-SBK 11 with PCB (P-STK-11/P-STK-03)', 'Pulleys - Flanged (Timing)', 'Feeder Pressure Lever Assemblies', 'Feeder Paddle Drive Gear Motor', 'Air/Vacuum Tubing', 'Universal Light Barrier (ULB)', 'Label Printers (Stacker Module)', 'Feeder Jam Release Slide Assembly', 'System Host Computer', 'Feeder Pick Off Belt Servo Motor', 'P-LED10 Circuit Card (Photocell Emitter)', 'Descriptor Bus Terminator (Reader and End Stacker Module)', 'Stacker Volume Switches', 'Circuit Breaker Panel Assembly (Transport & Reader Module)', 'Feeder Paddle Pressure Sensor Controller (Fiberoptic)', 'Tach Transducers (Reader & Transition Module)', 'Stacker Arm Spring Assembly', 'Receptacle Box (Transport Module)', 'Gate Stop Assembly (Reader and Stacker)', 'Reader & Stacker Diverter Gate Assembly', 'Pulleys - Drive', 'Motor Controller (Allen Bradley)', 'Stacker Switch Mount Molded', 'Jogger Vibration Control Cable Assembly', 'P-DZ90 Circuit Card (Photocell)', 'Reader Diverter Back Plane Driver Assembly (P-P-WMMB-3), shown in elevator module', 'Feeder Paddle Drive Gear Chain', 'Main Power Distribution Unit', 'Mechanical Roller & Bearing Assemblies', 'Feeder Take-Away Pressure Roller Assemblies', 'Stacker Lower Front Panel Assembly', 'Feeder Paddle Drive Gear Motor Sprocket', 'Circuit Breaker Panel Assembly (Feeder Module)', 'Pusher Assembly (Stacker)', 'Feeder Staging Belt', 'Stacker LCD Display Panel', 'Feeder Phenolic Chain Guide', 'USB to Serial Converter (Edgeport) Connector (Reader Module)', 'Edging Roller Sensor', 'Feeder Belt Pulleys', 'Stacker Four-Pocket, Pocket Assembly with Teflon Guide Strips', 'Feeder Module Transport and Drive Belts', 'Filter\n\n(Transport and Reader Module)', 'Feeder Paddle Tension Chain Sprocket', 'Stacker Circuit Card Assemblies (P-PMB 32)']"
Bearing_Rolling_Grease_V0,Bearing - Rolling Element - Grease,"['Bearing housings', 'Grease', 'Bearing Seals', 'Grease Fittings (e.g. Zirc type)', 'Bearings - Rolling Element']"
Bearing_Rolling_Oil_V0,Bearing - Rolling Element - Oil,"['Bearing Seals (contact type)', 'Bearing housings', 'Bearing Seals (all types)', 'Bearing Seals (non-contact type)', 'Lubrication - Oil', 'Bearings - Rolling Element']"
Blower_PD_Roots_V0,Blower_Positive Displacement_Roots Type,"['Gears', 'Base Plate', 'Gear Case', 'Grease', 'Bearings - Roller', 'Grease release vents', 'Cylinder', 'Impeller Rotors', 'Driving Shaft Bearing Cover', 'Oil or Grease Seals', 'Impeller Shafts', 'Feet and Lifting Lugs', 'Fibre Washers', 'Air Intake Housing', 'Disc Springs', 'Bearings - Thrust', 'Oil Thrower', 'Gaskets', 'Gear Trough (i.e. splash cover)', 'Fasteners', 'Headplates', 'Air Filter - Cartridge type', 'O-Rings', 'Oil']"
Boiler_AirPreHeater_Vert_V0,Air Pre-Heater - Vertical Type,"['Auxiliary Drive Air Compressor, Tank, Filter, Oiler, and Solenoid Valve', 'Drive Motor and Gearbox Couplings', 'Heating Elements (Baskets) - Hot', 'Drive Motor - Electric (Main or Auxiliary)', 'Seal Plates (Hot Radial, Cold Radial, Axial, Sector)', 'Drive Gearbox Frame', 'Lube Oil Metering Orifice, if present', 'Heating Elements (Baskets) - Cold', 'Drive Gearbox', 'Seals (Axial, Radial, Bypass/Circumferential, Post)', 'Soot Blower', 'Support Bearing Air Seal Cover', 'Support Radial Bearing Stub Shaft', 'Guide Bearing Air Seal Cover', 'Drive Gearbox oil cooler, if present', 'Support Radial Bearing (Rolling Element)', 'Air Pre-Heater Housing', 'Guide Bearing (Rolling Element)', 'Rotor Assembly (Diaphragm, Stay Plates, Shell, Post, Trunnions)', 'Support Bearing (Tilt Pad Type)', 'Pin Rack', 'Heating Elements (Baskets) - Supports', 'Instrumentation - Pressure and Temperature (Local, DCS, Control Room)', 'Heating Elements (Baskets) - Intermediate, if present', 'T-Bars', 'Lube Oil (Guide Bearing, Support Bearing, Rotor Drive)', 'Lube Oil System (Guide Bearing, Support Bearing, Rotor Drive)', 'Auxiliary Drive Air Motor', 'Guide Bearing Housing', 'Auxiliary Drive Air Compressor, Tank, Air Filter, Oiler, and Solenoid Valve', 'Pinion Shaft Seal', 'Lube Oil Cooling Heat Exchanger (Guide Bearing, Support Bearing, Rotor Drive)', 'Support Bearing Cover Shield', 'Drive Pinion Gear', 'Support Bearing Housing']"
Brake_Disc_Air_Operated_V0,Brake - Disc - Air Operated,"['Air Line Connector', 'Air or Pneumatic Cylinder - Support rods and end caps, if present', 'Air or Pneumatic Cylinder, Piston, and Rod', 'Brake Pads, or Shoes', 'Brake Disc', 'Mechanical linkages and brake arms', 'Air or Pneumatic Cylinder, Piston, and Rod - Seals', 'Air or Pneumatic Cylinder - Bearings or Bushings, if present', 'Clevis pins, if present', 'Air or Pneumatic Cylinder - Hose Connection Ports', 'Air or Pneumatic Cylinder, Piston Ring, if present', 'Air or Pneumatic Cylinder', 'Frame', 'Bolting, hardware, and fasteners', 'Torque spring']"
Brake_ElectroMechanical_V0,Brake - Electro-Mechanical,"['Holding or Pull-in coil', 'Connector and wiring', 'Magnetic air gap', 'Mechanical linkages and brake arms', 'Clevis pins, if present', 'Frame', 'Brake Drum', 'Bolting, hardware, and fasteners', 'Pivot needle bearings', 'Torque spring', 'Brake Linings, Pads, or Shoes']"
BULK_BargeUnloader_LadderwFixedCantileverBoom_V0,	Barge Unloader Ladder Type with Fixed Cantilever Boom,"['Trolley', 'Gathering Conveyor', 'Fire suppression', 'Boom', 'Cantilever (Fixed Boom)', 'Breasting System', 'Barge Haul System', 'Fire Suppression']"
BULK_BargeUnloader_LadderwMovableBoom_V0,Barge Unloader Ladder Type with Movable Boom,"['Boom Hoist', 'Trolley', 'Gathering Conveyor', 'Fire suppression', 'Boom', 'Breasting System', 'Barge Haul System', 'Fire Suppression']"
Bulk_CNVR_1,Coal Handling - Conveyor - Belt Type,"['Holdback - grease filled', 'Pulleys', 'Anti-static brush', 'Fire sensor', 'Rollers', 'Belt steering device or power trainer, if present', 'Fire suppression nozzle(s)', 'Scale, if present', 'Pulley bearings', 'Rollers - other', 'Rollers - static steering', 'Holdback - oil filled', 'Scrapers, if present', 'Belt', 'Emergency stop pull cord', 'Speed switch', 'Fire suppression piping', 'Misalignment switch']"
Bulk_CNVR_Belt_AC_GearMotor_V0,Material Handling - Conveyor - Belt Type with AC Gear Motor Drive,"['Motor output shaft', 'Motor and Gearbox frame, enclosure, mounting, housing, or gear case', 'Drive sprockets', 'Motor leads and electrical connections', 'Motor stator laminations', 'Gearbox - gaskets', 'Motor rotor bars and shorting rings (cast type)', 'Scrapers or belt cleaners  (main belt), if present', 'Motor space heaters, if present', 'Motor stator windings', 'Pulleys (main belt)', 'Lubrication - oil', 'Motor stator winding blocking, bracing, wedges, and ties', 'Motor or machine grounding wire', 'Anti-static brush (main belt)', 'Rollers and guides (main belt)', 'Gearbox bearings - rolling element (radial and thrust)', 'Motor bearings - rolling element (radial only)', 'Speed switch (main belt)', 'Steering device or power trainer (main belt), if present', 'Motor and Gearbox bearing shaft seals', 'Holdback (main belt) - oil filled', 'Drive chain', 'Conveyor frame, belt skirting, mounting, and cover', 'Motor external fan & cover', 'Product scale, if present', 'Gearbox - oil breather', 'Rollers and guides (main belt) - other', 'Misalignment switch (main belt)', 'Holdback (main belt) - grease filled', 'Rollers and guides (main belt) - static steering', 'Emergency stop', 'Main belt', 'Gearbox - gears', 'Pulley bearings (main belt)', 'Lubrication - grease']"
Bulk_CNVR_Belt_AC_MTR_V0,Material Handling - Conveyor - Belt Type with AC Motor Drive,"['Motor bearing shaft seal', 'Motor leads and electrical connections', 'Motor stator laminations', 'Motor rotor bars and shorting rings (cast type)', 'Motor shaft', 'Scrapers or belt cleaners  (main belt), if present', 'Motor space heaters, if present', 'Motor stator windings', 'Pulleys (main belt)', 'Motor endbells or bearing housings', 'Motor stator winding blocking, bracing, wedges, and ties', 'Scale, if present', 'Motor or machine grounding wire', 'Anti-static brush (main belt)', 'Rollers and guides (main belt)', 'Motor bearings - rolling element (radial only)', 'Speed switch (main belt)', 'Steering device or power trainer (main belt), if present', 'Motor frame, enclosure, and mounting', 'Holdback (main belt) - oil filled', 'Lubrication', 'Conveyor frame, belt skirting, mounting, and cover', 'Motor external fan & cover', 'Rollers and guides (main belt) - other', 'Misalignment switch (main belt)', 'Holdback (main belt) - grease filled', 'Drive pulleys and belts', 'Rollers and guides (main belt) - static steering', 'Emergency stop', 'Main belt', 'Pulley bearings (main belt)']"
Bulk_CNVR_PolyRollers_and_Frame_V0,Material Handling - Conveyor - Polyurethane Rollers and Frame,"['Grease', 'Grease Fittings and Supply Tubing', 'Idler Rollers (Polyurethane)', 'Bearing Seals', 'Support Frame and Structure', 'Bearings - Rolling Element']"
Bulk_CNVR_Pulv_Feeder_Belt_V0,Pulverizer Coal Feeder - Belt Type,"['Gearbox (Belt and Clean-Out)', 'Motor Stator Laminations (Belt or Clean-Out)', 'Speed Switch and Sensor (Belt or Clean-Out)', 'Motor and Gearbox - Bearing Shaft Seals (Belt or Clean-Out)', 'Motor Leads and Electrical Connections (Belt or Clean-Out)', 'Lubrication - Oil', 'Fire suppression nozzle(s)', 'Internal Wiring and Connections (Load Cell, Speed sensor, Port Lights, etc.)', 'Motor Rotor Cast Type (Belt or Clean-Out)', 'Motor External Fan & Cover (Belt or Clean-Out)', 'Seal Air Valve', 'Feeder Belt Scrapers or Cleaners', 'Rollers (Belt or Clean-Out)', 'Lubrication - Grease', 'Feeder Belt Load Cell, if present', 'Motor and Gearbox Couplings (Belt or Clean-Out)', 'Feeder Belt Skirting', 'Pulley Bearings - Head, Tail, Tension', 'Leveling Bar', 'Motor Stator Windings (Belt or Clean-Out)', 'Feeder Frame and Housing', 'Motor Bearings - Rolling Element (Belt or Clean-Out)', 'Gearbox and Motor - Frames, Enclosures, Mounting, Housing, or Gear Case  (Belt or Clean-Out)', 'Feeder Belt Support Pan', 'Motor or Feeder Grounding Wire (Belt or Clean-Out)', 'Feeder Clean-Out Assembly', 'Feeder Belt', 'Lights', 'Fire sensor', 'Fire suppression piping']"
Bulk_CNVR_Pulv_Feeder_Vol_Star_V0,Pulverizer Coal Feeder - Volumetric Star or Overshot Roll Feeder,"['Variable Speed Drive Motor - Rolling Element', 'Variable Speed Drive Motor - Frames, Enclosures, Mounting, Housing', 'Lubrication - Grease', 'Liner (Housing, Door, Roll End)', 'Variable Speed Drive Motor Leads and Electrical Connections', 'Variable Speed Drive Motor Rotor Cast Type', 'Variable Speed Drive Motor Stator Laminations', 'Hinge Leveling Gate Assembly', 'Variable Speed Drive Motor Stator Windings', 'Body', 'Feeder Hot Air Slot or Plug', 'Drive Chain and Sprocket', 'Roll Shaft', 'Roll Spider', 'Variable Speed Drive Motor External Fan & Cover', 'Variable Speed Drive Motor or Feeder Grounding Wire', 'Variable Speed Drive Motor - Bearing Shaft Seals', 'Motor External Fan & Cover (Belt or Clean-Out)']"
Bulk_CNVR_Rollers_and_Frame_V0,Material Handling - Conveyor - Rollers and Frame,"['Wiring (Powered Rollers and Position Sensors)', 'Idler Rollers', 'Thrust Rollers', 'Powered Rollers', 'Support Frame and Structure', 'Roller Positioning and Speed Sensor']"
Bulk_CNVR_Screw_AC_GearMotor_V0,Material Handling - Conveyor - Screw Type with AC Gear Motor Drive,"['Gearbox - Gaskets', 'Motor Rotor Bars and Shorting Rings (Cast Type)', 'Drive Chain Guard', 'Motor Space Heaters, if present', 'Lubrication - Grease (Drive Motor, Chain, and Screw)', 'Screw Bearings - Rolling Element', 'Motor and Gearbox Bearing Shaft Seals', 'Emergency Stop or Shutoff, if present', 'Motor Stator Winding Blocking, Bracing, Wedges, and Ties', 'Motor Leads and Electrical Connections', 'Gearbox - Gears', 'Motor Stator Windings', 'Drive Chain', 'Trough, Stiffeners, and Guard', 'Lubrication - Oil (Drive Gearbox)', 'Screw Bearing Seals', 'Motor Stator Laminations', 'Motor Output Shaft', 'Gearbox - Oil Breather', 'Motor External Fan & Cover', 'Screw Shaft', 'Screw Blade', 'Drive Sprockets', 'Motor or Conveyor Grounding Wire', 'Gearbox Bearings - Rolling Element (Radial and Thrust)', 'Screw Bearing Housings', 'Motor Bearings - Rolling Element (Radial Only)', 'Motor and Gearbox Frame, Mounting, Gear Case', 'Structure and Drive Base']"
Bulk_Conveyor_Bucket_Vert_MotorDriven_V0,Conveyor - Bucket Vertical Type with Drive Motor,"['Drive Couplings', 'Drive and Idler Shafts', 'Bucket', 'Chain', 'Switches - Emergency Stop', 'Drive Motor', 'Fasteners', 'Switches - Control and Position', 'Drive Gear Reducer', 'Guards', 'Support Frame, Structure, Platforms, Stairs, Walkways, and Hand Rails', 'Belt', 'Drive and Idler Sprockets']"
Bulk_FDR_1,Coal Handling - Vibrating Feeder,"['Bed plate or liner', 'VF wheel', 'Diverter plates', 'Lower boot', 'Motor', 'Feeder springs', 'Safety cables', 'Upper boot', 'Support cables', 'Feeder bed support structure']"
Bulk_Feeder_Screw_DirectDrive_V0,Feeder - Screw Auger - Direct Drive,"['Drive Sprockets or Sheaves', 'Auger Agitator, if present', 'Intake or Discharge Hopper or Housing', 'Feeder Tube or Tray Gaskets or Seals', 'Foundation', 'Feeder Guards', 'Drive Chain or Belt', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Drive Gearbox', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Drive Chain or Belt Guard', 'Drive Chain', 'Drive Motor', 'Hardware & Fasteners (general)', 'Auger Shaft Seal or Packing', 'Drive Chain or Belt Tensioner', 'Auger Shaft Pillow Block Bearing, if present', 'Lubrication - Grease (Motor, Pillow Block,  and some Gearboxes)', 'Auger', 'Drive Mounting Bracket', 'Auger Shaft Coupling', 'Drive Motor Leads and Electrical Connections']"
Bulk_Feeder_Screw_InDirectDrive_V0,Feeder - Screw Auger - In-Direct Drive,"['Drive Sprockets or Sheaves', 'Auger Agitator, if present', 'Intake or Discharge Hopper or Housing', 'Feeder Tube or Tray Gaskets or Seals', 'Foundation', 'Feeder Guards', 'Drive Chain or Belt', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Drive Gearbox', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Drive Chain or Belt Guard', 'Drive Chain', 'Drive Motor', 'Hardware & Fasteners (general)', 'Auger Shaft Seal or Packing', 'Drive Chain or Belt Tensioner', 'Auger Shaft Pillow Block Bearing, if present', 'Lubrication - Grease (Motor, Pillow Block,  and some Gearboxes)', 'Auger', 'Drive Mounting Bracket', 'Auger Shaft Coupling', 'Drive Motor Leads and Electrical Connections']"
Bulk_Pugmill_1_V0,Pugmill Mixer - Large Electric Drive,"['Trough or Mixing Bed', 'Drive Sprockets or Sheaves', 'Intake or Discharge Hopper or Housing', 'Foundation', 'Cleanouts', 'Drive Chain or Belt', 'Paddle Shaft Bearing', 'Paddles', 'Lubrication - Gearbox Oil or Gearlube, if present', 'Drive Gearbox', 'Lubrication - Grease (Motor, Shaft Bearing,  and some Gearboxes)', 'Lubrication - Grease Fittings (e.g. Zirc type, feed tubes), if present', 'Covers, Guards', 'Drive Chain or Belt Guard', 'Paddle Shaft Coupling', 'Drive Chain', 'Spray Nozzles, if present', 'Drive Motor', 'Hardware & Fasteners (general)', 'Drive Chain or Belt Tensioner', 'Drive Mounting Bracket', 'Paddle Shaft Seal', 'Paddle Shaft', 'Drive Motor Leads and Electrical Connections', 'Gaskets or Seals']"
Bulk_Pulverizer_1,Pulverizer - Coal - Bowl Type,"['Inverted cone', 'Journal roll assembly - upper & lower housings', 'Mill motor', 'Feeder', 'Hardware & fasteners', 'Separator', 'Exhauster, if present', 'Foundation', 'Classifier', 'Gearbox oil filter', 'Gearbox', 'Grinding bowl', 'Journal springs', 'Pyrite areas', 'Crossover pipe and turning vane, if present', 'Grinding Ring', 'Grinding ring', 'Venturi outlet, if present', 'Pyrite discharge chute', 'Journal rolls', 'Gearbox oil cooler', 'Vertical shaft', 'Journal roll assembly', 'Pyrite scraper assembly', 'Feeder controls', 'Gearbox oil pump']"
Bulk_Pulverizer_2,Pulverizer - Coal - Roll Wheel Type,"['Feeder', 'Roll Wheels/Tires', 'Spring Load System - Springs', 'Discharge Turret Plates', 'Pyrite Plow', 'Primary Air Fan - Blades', 'Lube Oil Skid - Oil Pump', 'Top Housing', 'Gearbox', 'Mill Motor', 'Spring Load System - Tension members', 'Classifier Blades', 'Spring Load System - Hydraulic cylinder', 'Primary Air Fan Motor', 'Pyrite Plow - Large Bottom Bowl', 'Yoke (Grinding Table)', 'Roll Assembly', 'Feeder Controls', 'Pipes - Coal Outlet', 'Rotating Throat Wall Assembly', 'Valves - Outlet Knife Gate or Swing types', 'Lube Oil Skid - Heater', 'Segmented Grinding Ring', 'Pyrite Plow - Small Bottom Bowl', 'Lube Oil Skid - Filter', 'Lube Oil Skid - Cooler', 'Rotating Throat Assembly', 'Primary Air Fan - Bearings', 'Classifier Cone', 'Pyrite Box', 'Intermediate Housing', 'Primary Air Fan - Housing', 'Tempering Air Damper Seal Ring', 'Tempering Air Damper', 'Dynamic Classifier Electric Motor']"
Bulk_Pulverizer_3_V0,Pulverizer - Horizontal Ball Mill - Lime Slaker,"['Pipe Standoffs', 'Power wiring with connectors', 'Inching Motor (see LV Motors)', 'Foundation', 'Control Panel and Display (Local)', 'Inlet Screw Feeder, if present', 'Classifier', 'Main Drive Coupling (Motor & Gearbox)', 'Liner', 'Main Drive Motor (see MV Motors)', 'Trunnion', 'Pinion Bearing Automatic Greaser, if present', 'Inching Drive Gearbox', 'Inching Drive Clutch', 'Slaking Water Control Valve (Air Operated)', 'Pinion Gear', 'Bull Gear', 'Pipe and Penetrations', 'Gear Spray', 'Barrel Heater', 'Inlet Seal Packing', 'Flange', 'Trunnion Bearing Lube Oil', 'Trommel Screen', 'Shell Manways', 'Inching Motor Coupling', 'Hardware & Fasteners (general)', 'Slaking Water Control Valve (Air Operated))', 'Gaskets', 'Instrumentation - Indicators, Transmitter, and Gauges (Flow, Level, Pressure, Temperature, Main Motor Amps)', 'Pinion Bearings - Pillow Block Type', 'Main Drive Gearbox', 'Pipe Insulation', 'Balls', 'Pedestal', 'Kirk Key Interlock', 'Pipe Hangers and Clamps', 'Pipe', 'Shell', 'Control wiring with connectors', 'Guards']"
Bulk_SEPR_1,Coal Handling - Magnetic Separator,"['Control transformer', 'Gear box shaft oil seals', 'Gear box gaskets', 'Undercurrent relay', 'Magnet tank', 'Gear box gears', 'Amp meter', 'Drive belts', 'Power semiconductor Components', 'Gear box bolting', 'Printed circuit boards', 'Speed switch, if present', 'Magnet tank oil', 'Motor', 'Rollers, if present', 'Magnet tank oil breather', 'Wiring', 'Sheaves', 'Pulleys', 'Gear oil', 'Gear box bearings', 'Pulley bearings', 'Belt', 'Electromagnets']"
